,arch_id,model_type,niters,second_node,drop,test_og_auroc,test_og_auroc,test_og_auprc,test_og_auprc,test_g_auroc,test_g_auroc,test_g_auprc,test_g_auprc,runtime_sec,runtime_sec,train_accuracy,train_accuracy,val_accuracy,val_accuracy,val_auroc,val_auroc,test_og_accuracy,test_og_accuracy,test_g_accuracy,test_g_accuracy
,,,,,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
0,coper_1node,COPER,1,False,0.0,0.6223,,0.3307,,0.6234,,0.3317,,58.305097341537476,,0.6126,,0.6687,,0.6625,,0.6165,,0.6359,
1,coper_1node,COPER,3,False,0.0,0.6725,,0.3963,,0.6704,,0.3914,,110.878821849823,,0.6488,,0.641,,0.7039,,0.6181,,0.623,
2,coper_1node,COPER,10,False,0.0,0.7218,,0.4746,,0.7183,,0.4639,,305.9118273258209,,0.7081,,0.6626,,0.7263,,0.6796,,0.6845,
3,coper_2node,COPER,1,True,0.0,0.5959,,0.3405,,0.5977,,0.3306,,107.22310638427734,,0.5754,,0.5794,,0.6105,,0.5777,,0.5421,
4,coper_2node,COPER,3,True,0.0,0.6533,,0.3797,,0.6596,,0.3873,,214.43460512161255,,0.6102,,0.6256,,0.6829,,0.6618,,0.6699,
5,coper_2node,COPER,10,True,0.0,0.6926,,0.4171,,0.7193,,0.4722,,582.444301366806,,0.6818,,0.6749,,0.73,,0.6748,,0.7006,
6,transformer_2node,TRANSFORMER,1,True,0.0,0.6139,,0.3387,,0.6101,,0.3294,,108.20667266845703,,0.5818,,0.6194,,0.6505,,0.5647,,0.6003,
7,transformer_2node,TRANSFORMER,3,True,0.0,0.6782,,0.435,,0.6683,,0.4187,,216.66969180107117,,0.6354,,0.6487,,0.7006,,0.623,,0.6359,
8,transformer_2node,TRANSFORMER,10,True,0.0,0.723,,0.4915,,0.711,,0.4683,,580.0061583518982,,0.6835,,0.6826,,0.7291,,0.6618,,0.6942,
9,transformer_baseline,TRANSFORMER,1,False,0.0,0.6465,,0.3952,,0.648,,0.3805,,57.20083785057068,,0.6225,,0.5809,,0.6655,,0.6214,,0.5615,
10,transformer_baseline,TRANSFORMER,3,False,0.0,0.7002,,0.4417,,0.6922,,0.4302,,111.41626000404358,,0.646,,0.6872,,0.7128,,0.6699,,0.6812,
11,transformer_baseline,TRANSFORMER,10,False,0.0,0.7252,,0.4924,,0.7122,,0.4793,,298.91920804977417,,0.7,,0.6826,,0.737,,0.6974,,0.6699,
